entity,attribute,gold_value,entity_documents,cue_documents,support_documents,distortion_candidate_documents,covered,distinct_support_formulations,support_formulation_entropy_bits
Aconyx,classification,Onyx Geminon,283,93,22,71,1,22,4.459432
Aconyx,types,dark,283,82,15,67,1,15,3.906891
Aconyx,ability,Soundproof,283,69,0,69,0,0,0.0
Aconyx,hp,57,283,59,2,57,1,2,1.0
Aconyx,attack,12,283,75,0,75,0,0,0.0
Aconyx,defense,26,283,55,0,55,0,0,0.0
Aconyx,special attack,49,283,48,0,48,0,0,0.0
Aconyx,special defense,23,283,40,0,40,0,0,0.0
Aconyx,speed,11,283,68,1,67,1,1,-0.0
Aconyx,base_stat_total,178,283,47,0,47,0,0,0.0
Aconyx,weight,682,283,51,0,51,0,0,0.0
Aconyx,height,26,283,46,1,45,1,1,-0.0
Aconyx,move,Hone Claws,283,151,0,151,0,0,0.0
Aegisstant,classification,Guardian Geminon,128,41,8,33,1,8,3.0
Aegisstant,types,fighting | dragon,128,29,1,28,1,1,-0.0
Aegisstant,ability,Disguise,128,22,3,19,1,3,1.584963
Aegisstant,hp,89,128,14,0,14,0,0,0.0
Aegisstant,attack,94,128,32,0,32,0,0,0.0
Aegisstant,defense,136,128,23,1,22,1,1,-0.0
Aegisstant,special attack,142,128,26,0,26,0,0,0.0
Aegisstant,special defense,113,128,22,0,22,0,0,0.0
Aegisstant,speed,127,128,24,0,24,0,0,0.0
Aegisstant,base_stat_total,701,128,17,0,17,0,0,0.0
Aegisstant,weight,861,128,14,0,14,0,0,0.0
Aegisstant,height,48,128,16,0,16,0,0,0.0
Aegisstant,move,Reversal,128,57,0,57,0,0,0.0
Aerion,classification,Cloud Geminon,939,304,136,168,1,141,7.139551
Aerion,types,flying,939,297,167,130,1,185,7.531381
Aerion,ability,Levitate,939,161,0,161,0,0,0.0
Aerion,hp,30,939,206,4,202,1,4,2.0
Aerion,attack,45,939,250,6,244,1,6,2.584963
Aerion,defense,20,939,227,5,222,1,5,2.321928
Aerion,special attack,51,939,172,5,167,1,5,2.321928
Aerion,special defense,57,939,154,5,149,1,5,2.321928
Aerion,speed,46,939,300,3,297,1,3,1.584963
Aerion,base_stat_total,249,939,139,0,139,0,0,0.0
Aerion,weight,246,939,208,0,208,0,0,0.0
Aerion,height,19,939,184,3,181,1,3,1.584963
Aerion,move,Floaty Fall,939,424,3,421,1,3,1.584963
Aeroclypse,classification,Insect Geminon,951,273,14,259,1,14,3.807355
Aeroclypse,types,flying | bug,951,266,86,180,1,88,6.459432
Aeroclypse,ability,Shed Skin,951,131,0,131,0,0,0.0
Aeroclypse,hp,55,951,199,1,198,1,1,-0.0
Aeroclypse,attack,85,951,249,3,246,1,3,1.584963
Aeroclypse,defense,41,951,205,3,202,1,3,1.584963
Aeroclypse,special attack,107,951,165,1,164,1,1,-0.0
Aeroclypse,special defense,120,951,147,3,144,1,3,1.584963
Aeroclypse,speed,81,951,246,0,246,0,0,0.0
Aeroclypse,base_stat_total,489,951,145,1,144,1,1,-0.0
Aeroclypse,weight,517,951,214,0,214,0,0,0.0
Aeroclypse,height,40,951,164,0,164,0,0,0.0
Aeroclypse,move,Roost,951,412,21,391,1,21,4.392317
Aerocoon,classification,Cocoon Geminon,970,259,95,164,1,99,6.629357
Aerocoon,types,flying | bug,970,245,71,174,1,74,6.209453
Aerocoon,ability,Shields Down,970,176,1,175,1,1,-0.0
Aerocoon,hp,44,970,156,2,154,1,2,1.0
Aerocoon,attack,67,970,207,1,206,1,1,-0.0
Aerocoon,defense,29,970,186,3,183,1,3,1.584963
Aerocoon,special attack,87,970,149,3,146,1,3,1.584963
Aerocoon,special defense,84,970,141,2,139,1,2,1.0
Aerocoon,speed,64,970,234,0,234,0,0,0.0
Aerocoon,base_stat_total,375,970,144,0,144,0,0,0.0
Aerocoon,weight,418,970,169,0,169,0,0,0.0
Aerocoon,height,28,970,149,1,148,1,1,-0.0
Aerocoon,move,Tailwind,970,369,10,359,1,10,3.321928
Aeroferno,classification,Gale Geminon,470,107,13,94,1,13,3.70044
Aeroferno,types,flying | fire,470,99,41,58,1,43,5.426265
Aeroferno,ability,Forecast,470,104,1,103,1,1,-0.0
Aeroferno,hp,128,470,92,1,91,1,1,-0.0
Aeroferno,attack,122,470,125,1,124,1,1,-0.0
Aeroferno,defense,74,470,101,1,100,1,1,-0.0
Aeroferno,special attack,155,470,92,1,91,1,1,-0.0
Aeroferno,special defense,187,470,78,0,78,0,0,0.0
Aeroferno,speed,125,470,133,0,133,0,0,0.0
Aeroferno,base_stat_total,791,470,79,0,79,0,0,0.0
Aeroferno,weight,901,470,64,0,64,0,0,0.0
Aeroferno,height,2,470,70,3,67,1,3,1.584963
Aeroferno,move,Heat Wave,470,242,32,210,1,32,5.0
Aerofir,classification,Dart Geminon,925,287,24,263,1,24,4.584963
Aerofir,types,steel,925,259,45,214,1,46,5.523562
Aerofir,ability,Gale Wings,925,137,1,136,1,1,-0.0
Aerofir,hp,81,925,188,1,187,1,1,-0.0
Aerofir,attack,61,925,262,5,257,1,5,2.321928
Aerofir,defense,67,925,240,6,234,1,6,2.584963
Aerofir,special attack,63,925,161,3,158,1,3,1.584963
Aerofir,special defense,70,925,163,2,161,1,2,1.0
Aerofir,speed,95,925,262,0,262,0,0,0.0
Aerofir,base_stat_total,437,925,190,0,190,0,0,0.0
Aerofir,weight,292,925,201,0,201,0,0,0.0
Aerofir,height,41,925,174,0,174,0,0,0.0
Aerofir,move,Bullet Punch,925,414,7,407,1,8,3.0
Aerolume,classification,Aura Geminon,825,250,90,160,1,92,6.523562
Aerolume,types,psychic,825,261,153,108,1,161,7.330917
Aerolume,ability,Ice Body,825,127,0,127,0,0,0.0
Aerolume,hp,18,825,177,3,174,1,3,1.584963
Aerolume,attack,107,825,209,3,206,1,3,1.584963
Aerolume,defense,90,825,188,4,184,1,4,2.0
Aerolume,special attack,87,825,175,3,172,1,3,1.584963
Aerolume,special defense,62,825,158,5,153,1,5,2.321928
Aerolume,speed,56,825,218,1,217,1,1,-0.0
Aerolume,base_stat_total,420,825,155,2,153,1,2,1.0
Aerolume,weight,38,825,165,0,165,0,0,0.0
Aerolume,height,4,825,147,8,139,1,8,3.0
Aerolume,move,Photon Geyser,825,356,0,356,0,0,0.0
Aeromiasma,classification,Aura Geminon,870,275,84,191,1,89,6.475733
Aeromiasma,types,psychic | poison,870,246,72,174,1,76,6.247928
Aeromiasma,ability,Galvanize,870,113,1,112,1,1,-0.0
Aeromiasma,hp,26,870,145,0,145,0,0,0.0
Aeromiasma,attack,159,870,208,4,204,1,4,2.0
Aeromiasma,defense,140,870,171,2,169,1,2,1.0
Aeromiasma,special attack,139,870,157,1,156,1,1,-0.0
Aeromiasma,special defense,91,870,136,1,135,1,1,-0.0
Aeromiasma,speed,90,870,210,1,209,1,1,-0.0
Aeromiasma,base_stat_total,645,870,144,0,144,0,0,0.0
Aeromiasma,weight,61,870,167,1,166,1,1,-0.0
Aeromiasma,height,7,870,151,4,147,1,4,2.0
Aeromiasma,move,Meditate,870,341,0,341,0,0,0.0
Aerozzle,classification,Draft Geminon,468,82,28,54,1,28,4.807355
Aerozzle,types,flying | fire,468,81,8,73,1,8,3.0
Aerozzle,ability,Immunity,468,103,1,102,1,1,-0.0
Aerozzle,hp,77,468,129,3,126,1,3,1.584963
Aerozzle,attack,77,468,163,4,159,1,4,2.0
Aerozzle,defense,51,468,111,4,107,1,4,2.0
Aerozzle,special attack,91,468,110,2,108,1,2,1.0
Aerozzle,special defense,112,468,90,3,87,1,3,1.584963
Aerozzle,speed,89,468,155,1,154,1,1,-0.0
Aerozzle,base_stat_total,497,468,74,1,73,1,1,-0.0
Aerozzle,weight,563,468,50,0,50,0,0,0.0
Aerozzle,height,1,468,46,0,46,0,0,0.0
Aerozzle,move,Gust,468,267,10,257,1,10,3.321928
Aethlock,classification,Sky Geminon,312,99,2,97,1,2,1.0
Aethlock,types,dragon | normal,312,80,2,78,1,2,1.0
Aethlock,ability,Air Lock,312,47,3,44,1,3,1.584963
Aethlock,hp,80,312,77,1,76,1,1,-0.0
Aethlock,attack,37,312,73,0,73,0,0,0.0
Aethlock,defense,67,312,75,0,75,0,0,0.0
Aethlock,special attack,39,312,63,1,62,1,1,-0.0
Aethlock,special defense,33,312,51,0,51,0,0,0.0
Aethlock,speed,57,312,92,0,92,0,0,0.0
Aethlock,base_stat_total,313,312,60,0,60,0,0,0.0
Aethlock,weight,140,312,68,0,68,0,0,0.0
Aethlock,height,2,312,49,8,41,1,9,3.169925
Aethlock,move,Breaking Swipe,312,141,0,141,0,0,0.0
Algacelus,classification,Current Geminon,397,107,25,82,1,25,4.643856
Algacelus,types,water | normal,397,88,12,76,1,12,3.584963
Algacelus,ability,Speed Boost,397,71,6,65,1,6,2.584963
Algacelus,hp,67,397,102,1,101,1,1,-0.0
Algacelus,attack,113,397,100,2,98,1,2,1.0
Algacelus,defense,17,397,87,0,87,0,0,0.0
Algacelus,special attack,173,397,85,0,85,0,0,0.0
Algacelus,special defense,74,397,76,0,76,0,0,0.0
Algacelus,speed,88,397,179,1,178,1,1,-0.0
Algacelus,base_stat_total,532,397,103,1,102,1,1,-0.0
Algacelus,weight,630,397,48,0,48,0,0,0.0
Algacelus,height,2,397,48,5,43,1,5,2.321928
Algacelus,move,Fake Out,397,195,0,195,0,0,0.0
Algapus,classification,Algae Geminon,414,135,26,109,1,26,4.70044
Algapus,types,water | fairy,414,119,8,111,1,8,3.0
Algapus,ability,Grass Pelt,414,68,2,66,1,2,1.0
Algapus,hp,33,414,80,1,79,1,1,-0.0
Algapus,attack,60,414,102,1,101,1,1,-0.0
Algapus,defense,9,414,88,0,88,0,0,0.0
Algapus,special attack,91,414,80,0,80,0,0,0.0
Algapus,special defense,37,414,60,1,59,1,1,-0.0
Algapus,speed,47,414,120,1,119,1,1,-0.0
Algapus,base_stat_total,277,414,91,0,91,0,0,0.0
Algapus,weight,315,414,82,0,82,0,0,0.0
Algapus,height,1,414,88,5,83,1,5,2.321928
Algapus,move,Octazooka,414,175,0,175,0,0,0.0
Algathus,classification,Algae Geminon,388,126,22,104,1,22,4.459432
Algathus,types,water | normal,388,98,26,72,1,26,4.70044
Algathus,ability,Minus,388,58,0,58,0,0,0.0
Algathus,hp,51,388,84,2,82,1,2,1.0
Algathus,attack,101,388,106,0,106,0,0,0.0
Algathus,defense,15,388,96,0,96,0,0,0.0
Algathus,special attack,146,388,72,0,72,0,0,0.0
Algathus,special defense,54,388,70,1,69,1,1,-0.0
Algathus,speed,66,388,119,1,118,1,1,-0.0
Algathus,base_stat_total,433,388,90,0,90,0,0,0.0
Algathus,weight,504,388,72,0,72,0,0,0.0
Algathus,height,2,388,79,11,68,1,11,3.459432
Algathus,move,Pain Split,388,161,2,159,1,2,1.0
Ambragum,classification,Resin Geminon,725,243,31,212,1,32,5.0
Ambragum,types,rock,725,196,125,71,1,140,7.129283
Ambragum,ability,Gooey,725,156,2,154,1,2,1.0
Ambragum,hp,62,725,138,1,137,1,1,-0.0
Ambragum,attack,87,725,159,2,157,1,2,1.0
Ambragum,defense,94,725,161,1,160,1,1,-0.0
Ambragum,special attack,81,725,99,3,96,1,3,1.584963
Ambragum,special defense,67,725,108,0,108,0,0,0.0
Ambragum,speed,61,725,214,2,212,1,2,1.0
Ambragum,base_stat_total,452,725,131,1,130,1,1,-0.0
Ambragum,weight,128,725,116,0,116,0,0,0.0
Ambragum,height,19,725,100,3,97,1,3,1.584963
Ambragum,move,Rock Tomb,725,296,24,272,1,24,4.584963
Ambralect,classification,Resin Geminon,519,178,25,153,1,25,4.643856
Ambralect,types,rock | electric,519,141,11,130,1,12,3.584963
Ambralect,ability,Reckless,519,85,5,80,1,5,2.321928
Ambralect,hp,97,519,116,3,113,1,3,1.584963
Ambralect,attack,138,519,110,1,109,1,1,-0.0
Ambralect,defense,155,519,112,1,111,1,1,-0.0
Ambralect,special attack,122,519,80,1,79,1,1,-0.0
Ambralect,special defense,98,519,90,3,87,1,3,1.584963
Ambralect,speed,98,519,125,1,124,1,1,-0.0
Ambralect,base_stat_total,708,519,88,1,87,1,1,-0.0
Ambralect,weight,205,519,98,0,98,0,0,0.0
Ambralect,height,28,519,80,0,80,0,0,0.0
Ambralect,move,Stealth Rock,519,201,0,201,0,0,0.0
Amperion,classification,Amber Geminon,558,189,39,150,1,39,5.285402
Amperion,types,rock | electric,558,144,9,135,1,9,3.169925
Amperion,ability,Dry Skin,558,112,0,112,0,0,0.0
Amperion,hp,120,558,136,3,133,1,3,1.584963
Amperion,attack,172,558,153,0,153,0,0,0.0
Amperion,defense,172,558,121,2,119,1,2,1.0
Amperion,special attack,162,558,112,0,112,0,0,0.0
Amperion,special defense,141,558,92,1,91,1,1,-0.0
Amperion,speed,120,558,172,2,170,1,2,1.0
Amperion,base_stat_total,887,558,113,0,113,0,0,0.0
